ID,School_Name,System_ID,Type,School_Phone,Enrollment_Count,Teacher_Count,Teachers_Less_Than_1_Year_Experience_(%),Teachers_Between_1_and_10_Years_Experience_(%),Teachers_Between_11_and_20_Years_Experience_(%),Teachers Between_21_and_30_Years_Experience_(%),Teachers_Greater_Than_30_Years_Experience_(%)
522,Sedalia Park Elementary School,633,Elementary School,770.509.5162,701.0,64.0,8.0,55.0,28.0,9.0,0.0
523,Eastvalley Elementary School,633,Elementary School,770.578.7214,714.0,56.0,5.0,41.0,32.0,21.0,0.0
524,Indian Creek Elementary,634,Elementary School,912.393.1300,658.0,53.0,8.0,26.0,28.0,34.0,4.0
525,Ambrose Elementary School,634,Elementary School,912.359.5500,377.0,31.0,7.0,16.0,36.0,42.0,0.0
526,Coffee Middle School,634,Middle School,912.720.1011,1572.0,109.0,7.0,39.0,34.0,17.0,4.0
527,Wiregrass Regional College and Career Academy,634,High School,912.384.2086,190.0,14.0,0.0,7.0,43.0,50.0,0.0
528,Satilla Elementary School,634,Elementary School,912.384.2602,533.0,40.0,3.0,38.0,35.0,23.0,3.0
529,Broxton-Mary Hayes Elementary,634,Elementary School,912.359.2391,305.0,26.0,4.0,23.0,35.0,39.0,0.0
530,Coffee County High School,634,High School,912.384.2094,1334.0,91.0,6.0,31.0,29.0,30.0,6.0
531,Eastside Elementary School,634,Elementary School,912.384.3187,599.0,47.0,9.0,40.0,32.0,15.0,4.0
532,Nicholls Elementary School,634,Elementary School,912.345.2429,307.0,25.0,4.0,36.0,32.0,24.0,4.0
533,George Washington Carver Freshman Campus,634,High School,912.384.1342,492.0,39.0,8.0,31.0,36.0,21.0,5.0
534,West Green Elementary School,634,Elementary School,912.384.2032,307.0,28.0,0.0,43.0,32.0,25.0,0.0
535,Westside Elementary School,634,Elementary School,912.384.5506,585.0,47.0,9.0,40.0,26.0,21.0,4.0
536,Willie J. Williams Middle School,635,Middle School,229.890.6183,1427.0,94.0,6.0,29.0,39.0,22.0,3.0
537,Doerun Elementary School,635,Elementary School,229.782.5276,298.0,27.0,0.0,41.0,41.0,15.0,4.0
538,Odom Elementary School,635,Elementary School,229.324.3313,559.0,45.0,13.0,38.0,24.0,20.0,4.0
539,Norman Park Elementary School,635,Elementary School,229.769.3612,564.0,44.0,0.0,32.0,32.0,30.0,7.0
540,Colquitt County High School,635,High School,229.890.6141,1824.0,111.0,4.0,36.0,30.0,24.0,6.0
541,Funston Elementary School,635,Elementary School,229.941.2626,379.0,34.0,0.0,18.0,41.0,21.0,21.0
542,Wright Elementary School,635,Elementary School,229.890.6186,509.0,40.0,3.0,35.0,33.0,23.0,8.0
543,Stringfellow Elementary School,635,Elementary School,229.890.6187,244.0,27.0,0.0,15.0,37.0,30.0,19.0
544,CA Gray Junior High School,635,Middle School,229.890.6189,1304.0,102.0,5.0,47.0,32.0,12.0,3.0
545,Okapilco Elementary School,635,Elementary School,229.890.6191,451.0,41.0,2.0,42.0,42.0,12.0,2.0
546,Cox Elementary School,635,Elementary School,229.890.6190,552.0,48.0,2.0,44.0,35.0,13.0,6.0
547,Hamilton Elementary School,635,Elementary School,229.941.5594,258.0,22.0,5.0,32.0,18.0,36.0,9.0
548,Sunset Elementary School,635,Elementary School,229.890.6184,574.0,47.0,2.0,15.0,34.0,34.0,15.0
549,Greenbrier Middle School,636,Middle School,706.650.6080,677.0,41.0,5.0,24.0,37.0,34.0,0.0
550,Lewiston Elementary School,636,Elementary School,706.650.6064,718.0,50.0,2.0,36.0,38.0,22.0,2.0
551,Grovetown Middle School,636,Middle School,706.855.2514,970.0,58.0,3.0,40.0,36.0,17.0,3.0
552,River Ridge Elementary,636,Elementary School,706.447.1016,727.0,48.0,0.0,19.0,58.0,19.0,4.0
553,Evans Middle School,636,Middle School,706.868.3689,1023.0,60.0,2.0,40.0,27.0,30.0,2.0
554,Stallings Island Middle School,636,Middle School,706.447.2106,724.0,44.0,7.0,36.0,36.0,14.0,7.0
555,Grovetown High School,636,High School,706.447.2102,2042.0,112.0,4.0,46.0,38.0,10.0,2.0
556,Westmont Elementary School,636,Elementary School,706.863.0992,565.0,42.0,5.0,41.0,38.0,17.0,0.0
557,Harlem High School,636,High School,706.556.5980,1050.0,59.0,7.0,42.0,29.0,19.0,3.0
558,Evans Elementary School,636,Elementary School,706.863.1202,759.0,49.0,6.0,31.0,33.0,27.0,4.0
559,Blue Ridge Elementary School,636,Elementary School,706.868.0894,574.0,44.0,2.0,32.0,36.0,18.0,11.0
560,Lakeside High School,636,High School,706.863.0027,1869.0,102.0,2.0,28.0,42.0,23.0,6.0
561,Brookwood Elementary School,636,Elementary School,706.855.7538,533.0,47.0,4.0,34.0,40.0,17.0,4.0
562,Stevens Creek Elementary School,636,Elementary School,706.868.3705,849.0,53.0,4.0,42.0,38.0,15.0,2.0
563,Riverside Middle School,636,Middle School,706.868.3712,675.0,42.0,7.0,31.0,31.0,21.0,10.0
564,Riverside Elementary School,636,Elementary School,706.868.3736,671.0,49.0,2.0,29.0,35.0,33.0,2.0
565,Greenbrier High School,636,High School,706.650.6040,1653.0,87.0,6.0,33.0,36.0,23.0,2.0
566,Cedar Ridge Elementary School,636,Elementary School,706.447.2100,1151.0,73.0,4.0,55.0,22.0,19.0,0.0
567,Baker Place Elementary,636,Elementary School,706.447.2115,940.0,58.0,3.0,47.0,28.0,21.0,2.0
568,Harlem Middle School,636,Middle School,706.556.5990,807.0,47.0,9.0,21.0,47.0,21.0,2.0
569,Lakeside Middle School,636,Middle School,706.855.6900,688.0,43.0,0.0,14.0,49.0,23.0,14.0
570,Greenbrier Elementary School,636,Elementary School,706.650.6060,660.0,45.0,2.0,42.0,24.0,27.0,4.0
571,Euchee Creek Elementary School,636,Elementary School,706.556.4000,582.0,46.0,9.0,44.0,37.0,9.0,2.0
572,Parkway Elementary School,636,Elementary School,706.868.2346,558.0,36.0,0.0,39.0,44.0,17.0,0.0
573,Columbia Middle School,636,Middle School,706.541.1252,926.0,55.0,2.0,33.0,44.0,22.0,0.0
574,Martinez Elementary School,636,Elementary School,706.863.8308,772.0,50.0,14.0,36.0,30.0,10.0,10.0
575,North Columbia Elementary School,636,Elementary School,706.541.1158,351.0,28.0,4.0,36.0,29.0,32.0,0.0
576,Evans High School,636,High School,706.863.1198,1845.0,106.0,5.0,20.0,43.0,25.0,8.0
577,North Harlem Elementary School,636,Elementary School,706.556.5995,625.0,47.0,2.0,32.0,49.0,17.0,0.0
578,Grovetown Elementary School,636,Elementary School,706.863.0800,782.0,58.0,5.0,43.0,31.0,17.0,3.0
579,South Columbia Elementary School,636,Elementary School,706.863.3220,452.0,41.0,5.0,37.0,37.0,22.0,0.0
580,Cook County Middle School,637,Middle School,229.549.5999,724.0,53.0,4.0,25.0,40.0,21.0,11.0
581,Cook Elementary School,637,Elementary School,229.549.6250,730.0,48.0,2.0,27.0,44.0,23.0,4.0
582,Cook High School,637,High School,229.896.2213,861.0,60.0,2.0,23.0,47.0,20.0,8.0
583,Cook Primary School,637,Elementary School,229.549.7713,645.0,59.0,3.0,31.0,29.0,29.0,9.0
584,Arbor Springs Elementary,638,Elementary School,770.463.5903,435.0,32.0,9.0,28.0,41.0,16.0,6.0
585,Willis Road Elementary,638,Elementary School,770.304.7995,724.0,49.0,0.0,16.0,57.0,25.0,2.0
586,Lee Middle School,638,Middle School,770.251.1547,935.0,55.0,7.0,22.0,46.0,26.0,0.0
587,Brooks Elementary,638,Elementary School,770.683.0013,679.0,44.0,0.0,25.0,48.0,25.0,2.0
588,White Oak Elementary School,638,Elementary School,770.254.2860,659.0,42.0,0.0,33.0,38.0,29.0,0.0
589,Canongate Elementary School,638,Elementary School,770.463.8010,576.0,39.0,0.0,28.0,39.0,31.0,3.0
590,Newnan Crossing Elementary School,638,Elementary School,770.254.2872,812.0,55.0,0.0,24.0,46.0,29.0,2.0
591,Jefferson Parkway Elementary School,638,Elementary School,770.254.2771,444.0,40.0,0.0,30.0,58.0,13.0,0.0
592,Northgate High School,638,High School,770.463.5585,1791.0,102.0,1.0,21.0,42.0,33.0,3.0
593,Poplar Road Elementary School,638,Elementary School,770.254.2740,584.0,42.0,2.0,24.0,48.0,26.0,0.0
594,Welch Elementary School,638,Elementary School,770.254.2597,760.0,55.0,2.0,24.0,55.0,20.0,0.0
595,Glanton Elementary,638,Elementary School,770.583.2873,275.0,28.0,4.0,36.0,39.0,21.0,0.0
596,East Coweta Middle School,638,Middle School,770.599.6607,754.0,44.0,5.0,27.0,57.0,11.0,0.0
597,Thomas Crossroads Elementary School,638,Elementary School,770.254.2751,382.0,29.0,0.0,21.0,45.0,28.0,7.0
598,Madras Middle School,638,Middle School,770.254.2744,1115.0,63.0,6.0,35.0,44.0,14.0,0.0
599,Smokey Road Middle School,638,Middle School,770.254.2840,689.0,43.0,5.0,42.0,26.0,26.0,2.0
600,East Coweta High School,638,High School,770.254.2850,3194.0,162.0,6.0,27.0,51.0,17.0,0.0
601,Arnall Middle School,638,Middle School,770.254.2765,927.0,62.0,7.0,29.0,48.0,15.0,2.0
602,Arnco-Sargent Elementary School,638,Elementary School,770.254.2830,357.0,32.0,0.0,44.0,41.0,16.0,0.0
603,Ruth Hill Elementary School,638,Elementary School,770.254.2895,374.0,36.0,3.0,50.0,36.0,11.0,0.0
604,Evans Middle School,638,Middle School,770.254.2780,794.0,52.0,6.0,37.0,37.0,17.0,4.0
605,Atkinson Elementary School,638,Elementary School,770.254.2835,400.0,30.0,3.0,40.0,37.0,20.0,0.0
606,Eastside Elementary School,638,Elementary School,770.599.6621,473.0,35.0,0.0,17.0,37.0,43.0,3.0
607,Northside Elementary School,638,Elementary School,770.254.2890,387.0,29.0,3.0,24.0,45.0,28.0,0.0
608,Elm Street Elementary School,638,Elementary School,770.254.2865,487.0,33.0,6.0,24.0,49.0,21.0,0.0
609,Moreland Elementary School,638,Elementary School,770.254.2875,456.0,36.0,0.0,50.0,33.0,17.0,0.0
610,Newnan High School,638,High School,770.254.2880,2313.0,130.0,6.0,34.0,42.0,17.0,1.0
611,Western Elementary School,638,Elementary School,770.254.2790,384.0,35.0,9.0,37.0,34.0,20.0,0.0
612,Crawford County Elementary School,639,Elementary School,478.836.3171,756.0,46.0,0.0,24.0,28.0,41.0,7.0
613,Crawford County High School,639,High School,478.836.3126,476.0,34.0,0.0,32.0,35.0,24.0,9.0
614,Crawford County Middle School,639,Middle School,478.836.3181,413.0,31.0,0.0,32.0,32.0,26.0,10.0
615,Crisp County Primary School,640,Elementary School,229.276.3450,1115.0,85.0,6.0,33.0,28.0,28.0,5.0
616,Crisp County High School,640,High School,229.276.3430,1076.0,61.0,12.0,34.0,31.0,18.0,5.0
617,Crisp County Middle School,640,Middle School,229.276.3460,891.0,59.0,3.0,41.0,29.0,24.0,3.0
618,Crisp County Elementary School,640,Elementary School,229.276.3420,635.0,37.0,8.0,43.0,30.0,16.0,3.0
620,Dade Elementary School,641,Elementary School,706.657.8253,697.0,52.0,4.0,23.0,37.0,31.0,6.0
621,Dade County High School,641,High School,706.657.7517,605.0,45.0,2.0,40.0,33.0,16.0,7.0
622,Davis Elementary School,641,Elementary School,706.657.6300,248.0,22.0,0.0,32.0,41.0,27.0,0.0
623,Dade Middle School,641,Middle School,706.657.6491,495.0,37.0,3.0,30.0,43.0,19.0,5.0
624,Kilough Elementary School,642,Elementary School,706.216.8595,365.0,28.0,0.0,21.0,32.0,46.0,0.0
625,Dawson County Middle School,642,Middle School,706.216.4849,542.0,37.0,3.0,43.0,32.0,19.0,3.0
626,Dawson County Junior High,642,Middle School,706.265.3246,576.0,37.0,0.0,27.0,43.0,22.0,8.0
627,Riverview Elementary School,642,Elementary School,706.265.3246,338.0,35.0,0.0,49.0,31.0,20.0,0.0
628,Robinson Elementary School,642,Elementary School,706.265.6544,565.0,37.0,3.0,27.0,41.0,30.0,0.0
629,Dawson County High School,642,High School,706.265.6555,790.0,59.0,2.0,19.0,31.0,37.0,12.0
630,Black's Mill Elementary School,642,Elementary School,706.216.3300,299.0,25.0,0.0,40.0,28.0,28.0,4.0
631,West Bainbridge Elementary School,643,Elementary School,229.248.2821,553.0,42.0,0.0,38.0,29.0,19.0,14.0
632,New Beginning Learning Center,643,High School,229.243.6827,96.0,2.0,0.0,0.0,50.0,50.0,0.0
633,Potter Street Elementary School,643,Elementary School,229.248.2253,318.0,30.0,3.0,57.0,23.0,13.0,3.0
634,Bainbridge Middle School,643,Middle School,229.248.2206,696.0,51.0,6.0,35.0,26.0,28.0,6.0
635,Hutto Middle School,643,Middle School,229.248.2224,774.0,54.0,7.0,50.0,22.0,15.0,6.0
636,Bainbridge High School,643,High School,229.248.2230,1411.0,87.0,2.0,28.0,29.0,31.0,10.0
637,John Johnson Elementary School,643,Elementary School,229.248.2215,333.0,29.0,0.0,35.0,28.0,31.0,7.0
638,Jones-Wheat Elementary School,643,Elementary School,229.248.2218,604.0,40.0,0.0,20.0,53.0,23.0,5.0
639,Narvie Harris Elementary School,644,Elementary School,678.676.9202,711.0,49.0,2.0,43.0,35.0,16.0,4.0
640,Wynbrooke Elementary School,644,Elementary School,678.676.5002,747.0,52.0,2.0,23.0,37.0,35.0,4.0
641,Martin Luther King Jr. High School,644,High School,678.874.5402,1532.0,91.0,6.0,55.0,29.0,8.0,3.0
642,Miller Grove High School,644,High School,678.875.1102,1317.0,84.0,6.0,39.0,30.0,19.0,6.0
643,Flat Rock Elementary School,644,Elementary School,678.875.3202,977.0,66.0,12.0,39.0,30.0,17.0,2.0
644,Princeton Elementary School,644,Elementary School,678.875.3002,740.0,51.0,10.0,55.0,8.0,26.0,2.0
645,DeKalb Preparatory Academy Charter,644,Elementary School,404.492.5061,519.0,32.0,16.0,53.0,25.0,6.0,0.0
646,Cedar Grove High School,644,High School,678.874.4002,1120.0,70.0,6.0,51.0,27.0,9.0,7.0
647,Vanderlyn Elementary School,644,Elementary School,678.874.9002,646.0,47.0,4.0,60.0,17.0,15.0,4.0
648,Austin Elementary School,644,Elementary School,678.874.8102,668.0,44.0,0.0,43.0,32.0,23.0,2.0
649,Redan High School,644,High School,678.676.3602,1002.0,62.0,5.0,55.0,24.0,13.0,3.0
650,Eldridge L. Miller Elementary School,644,Elementary School,678.676.3302,535.0,41.0,10.0,42.0,17.0,20.0,12.0
651,Panola Way Elementary School,644,Elementary School,678.676.9302,800.0,60.0,5.0,35.0,28.0,22.0,10.0
652,Peachtree Middle School,644,Middle School,678.676.7702,1611.0,109.0,8.0,45.0,26.0,19.0,2.0
653,Pine Ridge Elementary School,644,Elementary School,678.676.3402,510.0,46.0,17.0,41.0,24.0,17.0,0.0
654,Browns Mill Elementary School,644,Elementary School,678.676.8302,539.0,41.0,2.0,39.0,34.0,22.0,2.0
655,Chapel Hill Middle School,644,Middle School,678.676.8502,837.0,57.0,4.0,40.0,16.0,32.0,9.0
656,Marbut Elementary School,644,Elementary School,678.676.8802,659.0,44.0,2.0,55.0,36.0,7.0,0.0
657,Cedar Grove Middle School,644,Middle School,678.874.4202,796.0,60.0,12.0,45.0,22.0,18.0,3.0
658,Freedom Middle School,644,Middle School,678.874.8702,1120.0,78.0,5.0,45.0,30.0,19.0,1.0
659,Lithonia High School,644,High School,678.676.2902,1370.0,88.0,7.0,44.0,27.0,15.0,7.0
660,Lithonia Middle School,644,Middle School,678.875.0702,1137.0,69.0,4.0,42.0,29.0,22.0,3.0
661,Redan Middle School,644,Middle School,678.874.7902,773.0,49.0,20.0,35.0,27.0,18.0,0.0
662,Dunwoody Elementary School,644,Elementary School,678.875.4002,1122.0,78.0,23.0,40.0,27.0,8.0,3.0
663,Museum School Avondale Estates,644,Elementary School,404.292.9760,579.0,47.0,0.0,60.0,38.0,2.0,0.0
664,Rockbridge Elementary School,644,Elementary School,678.676.6102,822.0,60.0,17.0,45.0,13.0,23.0,2.0
665,Cedar Grove Elementary School,644,Elementary School,678.874.3902,569.0,42.0,5.0,41.0,26.0,12.0,17.0
666,Stone Mountain High School,644,High School,678.676.6302,1131.0,70.0,9.0,34.0,41.0,13.0,3.0
667,Kittredge Magnet School,644,Elementary School,678.874.6602,482.0,35.0,3.0,26.0,34.0,26.0,11.0
668,Sequoyah Middle School,644,Middle School,678.676.7902,1762.0,111.0,7.0,60.0,17.0,13.0,3.0
669,Salem Middle School,644,Middle School,678.676.9402,1028.0,64.0,6.0,53.0,23.0,14.0,3.0
670,Shadow Rock Elementary School,644,Elementary School,678.676.3902,569.0,41.0,10.0,34.0,15.0,32.0,10.0
671,Edward L. Bouie Sr. Elementary School,644,Elementary School,678.676.8202,599.0,44.0,2.0,23.0,27.0,39.0,9.0
672,Columbia Middle School,644,Middle School,678.875.0502,889.0,61.0,18.0,41.0,28.0,12.0,2.0
673,Oakview Elementary,644,Elementary School,678.875.1302,763.0,60.0,13.0,43.0,25.0,13.0,5.0
674,Wadsworth Magnet School for High Achievers,644,Elementary School,678.874.2402,113.0,14.0,0.0,14.0,43.0,36.0,7.0
675,Leadership Preparatory Academy,644,Elementary School,404.656.3103,451.0,41.0,15.0,76.0,7.0,2.0,0.0
676,GLOBE Academy Charter School I,644,Elementary School,404.867.6183,903.0,46.0,0.0,80.0,17.0,2.0,0.0
677,Tapestry Public Charter School,644,High School,678.676.1200,248.0,24.0,0.0,83.0,17.0,0.0,0.0
678,Fairington Elementary School,644,Elementary School,678.676.8702,653.0,46.0,11.0,39.0,26.0,17.0,7.0
679,Stephenson Middle School,644,Middle School,678.676.4402,955.0,62.0,8.0,34.0,31.0,23.0,5.0
680,Robert Shaw Theme School,644,Elementary School,678.676.6002,439.0,36.0,6.0,53.0,22.0,17.0,3.0
681,Mary McLeod Bethune Middle School,644,Middle School,678.875.0302,862.0,57.0,11.0,58.0,19.0,9.0,4.0
682,Chamblee Middle School,644,Middle School,678.874.8202,969.0,68.0,10.0,37.0,31.0,16.0,6.0
683,Dekalb Early College Academy,644,High School,678.676.0221,302.0,19.0,5.0,26.0,26.0,26.0,16.0
684,Ronald E McNair Discover Learning Academy Elementary School,644,Elementary School,678.874.3402,659.0,49.0,12.0,37.0,29.0,14.0,8.0
685,DeKalb School of the Arts,644,High School,678.676.2502,431.0,31.0,3.0,23.0,36.0,32.0,7.0
686,Bob Mathis Elementary School,644,Elementary School,678.874.5802,377.0,39.0,0.0,44.0,39.0,15.0,3.0
687,Stephenson High School,644,High School,678.676.4202,1443.0,85.0,4.0,31.0,32.0,25.0,9.0
688,DeKalb Alternative School,644,High School,678.676.2302,161.0,38.0,8.0,50.0,26.0,11.0,5.0
689,East DeKalb Special Education Center,644,K12,678.676.1890,46.0,5.0,0.0,20.0,20.0,20.0,40.0
690,Stone Mountain Middle School,644,Middle School,678.676.4802,1019.0,69.0,9.0,46.0,28.0,16.0,1.0
691,The Champion Middle Theme School,644,Middle School,678.504.4302,802.0,44.0,2.0,34.0,57.0,7.0,0.0
692,Margaret Harris Comprehensive School,644,K12,678.874.7002,73.0,15.0,0.0,40.0,27.0,13.0,20.0
693,Stone Mill Elementary School,644,Elementary School,678.676.4602,559.0,41.0,7.0,49.0,24.0,12.0,7.0
694,Miller Grove Middle School,644,Middle School,678.676.8902,862.0,63.0,3.0,46.0,35.0,13.0,3.0
695,Tucker Middle School,644,Middle School,678.875.0902,1265.0,88.0,8.0,55.0,21.0,14.0,3.0
696,Arabia Mountain High School - Academy of Engineering Medicine and Environm,644,High School,678.875.3602,1341.0,85.0,2.0,57.0,21.0,19.0,1.0
697,Woodridge Elementary School,644,Elementary School,678.874.0202,483.0,39.0,21.0,39.0,18.0,13.0,10.0
698,DeKalb PATH Academy Charter School,644,Middle School,404.846.3242,368.0,23.0,13.0,74.0,9.0,4.0,0.0
699,UHS of Laurel Heights,644,High School,404.888.7876,40.0,8.0,0.0,50.0,38.0,13.0,0.0
700,Henderson Middle School,644,Middle School,678.874.2902,1486.0,98.0,3.0,42.0,40.0,11.0,4.0
701,International Community School,644,Elementary School,404.499.8969,431.0,35.0,6.0,57.0,34.0,3.0,0.0
702,Elizabeth Andrews High School,644,High School,678.676.2602,454.0,50.0,4.0,14.0,40.0,30.0,12.0
703,Druid Hills Middle School,644,Middle School,678.874.7602,987.0,73.0,3.0,38.0,26.0,29.0,4.0
704,DeKalb Academy of Technology and the Environment Charter School,644,Elementary School,770.484.5865,725.0,41.0,5.0,59.0,24.0,7.0,5.0
705,DeKalb Elementary School of the Arts,644,Elementary School,678.874.1302,510.0,34.0,3.0,32.0,24.0,29.0,12.0
706,Brockett Elementary School,644,Elementary School,678.874.2602,464.0,40.0,8.0,40.0,23.0,20.0,10.0
707,Chapel Hill Elementary School,644,Elementary School,678.676.8402,612.0,41.0,2.0,34.0,42.0,22.0,0.0
708,Columbia Elementary School,644,Elementary School,678.874.0702,539.0,43.0,7.0,35.0,37.0,21.0,0.0
709,Dresden Elementary School,644,Elementary School,678.676.7202,927.0,69.0,12.0,45.0,28.0,12.0,4.0
710,Evansdale Elementary School,644,Elementary School,678.874.2702,624.0,46.0,0.0,37.0,35.0,22.0,7.0
711,McNair Middle School,644,Middle School,678.874.5102,720.0,48.0,4.0,52.0,23.0,15.0,6.0
712,Idlewood Elementary School,644,Elementary School,678.874.3202,941.0,73.0,6.0,49.0,29.0,11.0,6.0
713,Livsey Elementary School,644,Elementary School,678.874.3302,337.0,32.0,9.0,25.0,25.0,34.0,6.0
714,Tucker High School,644,High School,678.874.3702,1757.0,120.0,3.0,48.0,27.0,20.0,3.0
715,Woodward Elementary School,644,Elementary School,678.874.7802,844.0,70.0,10.0,53.0,10.0,21.0,6.0
716,Peachcrest Elementary School,644,Elementary School,678.874.1402,895.0,78.0,6.0,40.0,31.0,17.0,6.0
717,Barack H. Obama Elementary Magnet School of Technology,644,Elementary School,678.874.4402,938.0,59.0,9.0,46.0,24.0,15.0,7.0
719,Allgood Elementary School,644,Elementary School,678.676.5102,536.0,45.0,2.0,62.0,13.0,13.0,9.0
720,Columbia High School,644,High School,678.874.0802,958.0,66.0,3.0,42.0,29.0,18.0,8.0
721,Druid Hills High School,644,High School,678.874.6302,1325.0,92.0,10.0,36.0,29.0,22.0,3.0
722,Fernbank Elementary School,644,Elementary School,678.874.9302,760.0,69.0,7.0,44.0,28.0,15.0,7.0
723,Henderson Mill Elementary School,644,Elementary School,678.874.3102,533.0,47.0,2.0,51.0,32.0,9.0,6.0
724,Indian Creek Elementary School,644,Elementary School,678.676.5702,908.0,68.0,4.0,52.0,22.0,19.0,3.0
725,McLendon Elementary School,644,Elementary School,678.676.5902,410.0,38.0,0.0,53.0,32.0,16.0,0.0
726,Midvale Elementary School,644,Elementary School,678.874.3402,393.0,45.0,7.0,51.0,31.0,7.0,4.0
727,Cary Reynolds Elementary School,644,Elementary School,678.676.6802,746.0,60.0,7.0,33.0,32.0,20.0,8.0
728,Stone Mountain Elementary School,644,Elementary School,678.676.4702,493.0,41.0,7.0,42.0,22.0,20.0,10.0
729,Ashford Park Elementary School,644,Elementary School,678.676.6702,609.0,49.0,2.0,55.0,22.0,18.0,2.0
730,Briarlake Elementary School,644,Elementary School,678.874.2502,396.0,41.0,12.0,37.0,24.0,22.0,5.0
731,Canby Lane Elementary School,644,Elementary School,678.874.0602,477.0,40.0,8.0,43.0,30.0,13.0,8.0
732,Chesnut Elementary School,644,Elementary School,678.676.7102,423.0,38.0,13.0,37.0,26.0,24.0,0.0
733,Dunaire Elementary School,644,Elementary School,678.676.5502,473.0,41.0,5.0,59.0,22.0,5.0,10.0
734,Flat Shoals Elementary School,644,Elementary School,678.874.4602,552.0,39.0,8.0,44.0,23.0,18.0,8.0
735,Hambrick Elementary School,644,Elementary School,678.676.5602,558.0,46.0,0.0,61.0,9.0,24.0,7.0
736,Jolly Elementary School,644,Elementary School,678.676.5802,635.0,51.0,4.0,59.0,20.0,12.0,6.0
737,Lakeside High School,644,High School,678.874.6702,2119.0,129.0,5.0,44.0,28.0,19.0,3.0
738,Oak Grove Elementary School,644,Elementary School,678.874.7402,476.0,44.0,5.0,36.0,27.0,25.0,7.0
739,Pleasantdale Elementary School,644,Elementary School,678.874.3502,640.0,54.0,13.0,41.0,26.0,15.0,6.0
740,Rock Chapel Elementary School,644,Elementary School,678.676.3802,488.0,39.0,3.0,39.0,31.0,21.0,8.0
741,Smoke Rise Elementary School,644,Elementary School,678.874.3602,384.0,36.0,0.0,19.0,33.0,33.0,14.0
742,Toney Elementary School,644,Elementary School,678.874.2102,296.0,32.0,6.0,38.0,31.0,25.0,0.0
743,McNair High School,644,High School,678.874.4902,661.0,49.0,6.0,53.0,25.0,14.0,2.0
744,Briar Vista Elementary School,644,Elementary School,678.874.5902,431.0,44.0,11.0,48.0,18.0,16.0,7.0
745,Murphey Candler Elementary School,644,Elementary School,678.676.9102,504.0,40.0,5.0,50.0,25.0,18.0,3.0
746,Clarkston High School,644,High School,678.676.5302,1422.0,114.0,4.0,50.0,20.0,19.0,6.0
747,Cross Keys High School,644,High School,678.874.6102,1530.0,96.0,7.0,42.0,24.0,19.0,8.0
748,Hightower Elementary School,644,Elementary School,678.676.7302,730.0,56.0,0.0,48.0,34.0,16.0,2.0
749,Kelley Lake Elementary School,644,Elementary School,678.874.4802,334.0,32.0,3.0,44.0,28.0,16.0,9.0
750,Laurel Ridge Elementary School,644,Elementary School,678.874.6902,504.0,42.0,7.0,57.0,24.0,12.0,0.0
751,Montclair Elementary School,644,Elementary School,678.874.7302,735.0,63.0,11.0,67.0,13.0,6.0,3.0
752,Oakcliff Elementary School,644,Elementary School,678.676.3102,683.0,55.0,2.0,47.0,31.0,20.0,0.0
753,Rainbow Elementary School,644,Elementary School,678.874.1702,388.0,37.0,3.0,54.0,24.0,11.0,8.0
754,Rowland Elementary School,644,Elementary School,678.676.6202,536.0,49.0,14.0,45.0,18.0,18.0,4.0
755,Snapfinger Elementary School,644,Elementary School,678.874.1802,668.0,48.0,4.0,38.0,13.0,38.0,8.0
756,Stoneview Elementary School,644,Elementary School,678.676.3202,784.0,54.0,6.0,43.0,32.0,17.0,4.0
757,Towers High School,644,High School,678.874.2202,842.0,60.0,3.0,60.0,27.0,10.0,0.0
758,Coralwood Education Center,644,Elementary School,678.874.6002,79.0,26.0,4.0,62.0,27.0,8.0,0.0
759,Avondale Elementary School,644,Elementary School,678.676.5202,405.0,40.0,8.0,38.0,25.0,20.0,10.0
760,Chamblee Charter High School,644,High School,678.676.6902,1731.0,98.0,4.0,32.0,39.0,20.0,5.0
761,Dunwoody High School,644,High School,678.874.8502,2107.0,118.0,6.0,41.0,32.0,16.0,5.0
762,Hawthorne Elementary School,644,Elementary School,678.874.2802,358.0,41.0,7.0,54.0,20.0,12.0,7.0
763,Huntley Hills Elementary School,644,Elementary School,678.676.7402,480.0,48.0,17.0,40.0,29.0,10.0,4.0
764,Kingsley Elementary School,644,Elementary School,678.874.8902,381.0,41.0,0.0,54.0,17.0,20.0,10.0
765,Montgomery Elementary School,644,Elementary School,678.676.7502,761.0,46.0,7.0,59.0,17.0,15.0,2.0
766,Redan Elementary School,644,Elementary School,678.676.3502,557.0,42.0,12.0,36.0,21.0,24.0,7.0
767,Sagamore Hills Elementary School,644,Elementary School,678.874.7502,404.0,38.0,5.0,53.0,18.0,21.0,3.0
768,Southwest DeKalb High School,644,High School,678.874.1902,1176.0,77.0,3.0,29.0,38.0,23.0,8.0
769,Dodge County High School,645,High School,478.374.7711,856.0,54.0,6.0,30.0,37.0,24.0,4.0
770,Dodge County Middle School,645,Middle School,478.374.6492,679.0,51.0,0.0,28.0,33.0,31.0,8.0
771,South Dodge Elementary School,645,Elementary School,478.374.6691,719.0,55.0,0.0,33.0,26.0,35.0,7.0
772,North Dodge Elementary School,645,Elementary School,478.374.6690,674.0,52.0,2.0,29.0,29.0,40.0,0.0
